Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
                0.00    0.00       3/18          CCfgContext::resetDataLocation(char*) [75]
                0.00    0.00       7/18          CCfgContext::initDefaults() [74]
[30]     0.0    0.00    0.00      18         strNCatUtil(char*, char*, int) [30]
-----------------------------------------------
                0.00    0.00       1/10          CAppMain::initSequences(int) [126]
                0.00    0.00       1/10          CAppMain::initUsers(int) [135]
                0.00    0.00       1/10          CAppMain::initTablespace(int) [127]
                0.00    0.00       1/10          CAppMain::initTableMetadata() [130]
                0.00    0.00       6/10          allocDataArray(int, int) [36]
[31]     0.0    0.00    0.00      10         errMsgIfNull(char const*, char const*, char const*, void*) [31]
-----------------------------------------------
                0.00    0.00       1/10          CCmdTest::remoteBenchmark2() [139]
                0.00    0.00       1/10          CCmdListener::sendDataMessageToListener(unsigned char*, int) [98]
                0.00    0.00       1/10          cmd_listener_run(void*) [185]
                0.00    0.00       3/10          CCmdTest::waitMessage(int) [49]
                0.00    0.00       4/10          CCmdListener::sendDataMessageToRemoteUnit(long, unsigned char*, int) [44]
[32]     0.0    0.00    0.00      10         CAppMain::getConfigPtr() [32]
-----------------------------------------------
                0.00    0.00       1/9           CCfgConfigTag::loadConfigTagsValue(char*) [105]
                0.00    0.00       1/9           CSequence::saveFile(char*) [146]
                0.00    0.00       1/9           CSequence::loadFile(char*) [145]
                0.00    0.00       1/9           CUsers::saveFile(char*) [122]
                0.00    0.00       1/9           CUsers::loadFile(char*) [121]
                0.00    0.00       1/9           CTableSpace::saveFile(char*) [80]
                0.00    0.00       1/9           CTableSpace::loadFile(char*) [79]
                0.00    0.00       1/9           CTableMetadata::saveFile(char*) [118]
                0.00    0.00       1/9           CTableMetadata::loadFile(char*) [117]
[33]     0.0    0.00    0.00       9         openFileUtil(_IO_FILE**, char const*, char const*, long) [33]
-----------------------------------------------
                0.00    0.00       1/8           CAppMain::initSequences(int) [126]
                0.00    0.00       1/8           CAppMain::initUsers(int) [135]
                0.00    0.00       1/8           CAppMain::initTablespace(int) [127]
                0.00    0.00       1/8           CAppMain::initTableMetadata() [130]
                0.00    0.00       1/8           CAppMain::terminateSequences() [131]
                0.00    0.00       1/8           CAppMain::terminateUsers() [128]
                0.00    0.00       1/8           CAppMain::terminateTablespace() [132]
                0.00    0.00       1/8           CAppMain::terminateTableMetadata() [133]
[34]     0.0    0.00    0.00       8         CCfgContext::getDataDir() [34]
-----------------------------------------------
                0.00    0.00       1/8           CCmdDispatch::serverTerminate(CCfgRemoteUnit*) [89]
                0.00    0.00       1/8           CCmdDispatch::doActionTS1MkDir(CCfgRemoteUnit*, long, long) [90]
                0.00    0.00       1/8           CCmdDispatch::doActionTS1Upload(CCfgRemoteUnit*, long, long) [91]
                0.00    0.00       1/8           CCmdDispatch::doActionTS1DownloadAndProcess(CCfgRemoteUnit*, long, long, long) [92]
                0.00    0.00       4/8           CCfgConfig::getRemoteUnitPtr(int) [43]
[35]     0.0    0.00    0.00       8         CCfgRemoteUnit::getOid() [35]
-----------------------------------------------
                0.00    0.00       1/6           CCfgConfigTag::init(int, char*) [106]
                0.00    0.00       1/6           CCfgConfig::init(int) [69]
                0.00    0.00       1/6           CSequence::CSequence(int) [147]
                0.00    0.00       1/6           CUsers::CUsers(int) [123]
                0.00    0.00       1/6           CTableSpace::CTableSpace(int) [81]
                0.00    0.00       1/6           CTableMetadata::CTableMetadata(int) [119]
[36]     0.0    0.00    0.00       6         allocDataArray(int, int) [36]
                0.00    0.00       6/10          errMsgIfNull(char const*, char const*, char const*, void*) [31]
-----------------------------------------------
                0.00    0.00       6/6           CCmdTest::waitMessage(int) [49]
[37]     0.0    0.00    0.00       6         CCfgHostServer::getInPort() [37]
-----------------------------------------------
                0.00    0.00       1/5           main [13]
                0.00    0.00       4/5           CCmdTest::remoteBenchmark2() [139]
[38]     0.0    0.00    0.00       5         showMessage(char const*, long) [38]
-----------------------------------------------
                0.00    0.00       1/5           CCmdListener::sendDataMessageToListener(unsigned char*, int) [98]
                0.00    0.00       4/5           CCmdListener::sendDataMessageToRemoteUnit(long, unsigned char*, int) [44]
[39]     0.0    0.00    0.00       5         CCmdListener::sendDataMessageToAny(char*, int, unsigned char*, int) [39]
                0.00    0.00       5/230         warnMsg(int, char const*, char const*, char const*) [18]
                0.00    0.00       5/5           CCmdListener::sendDataMessageToINET(sockaddr_in*, long, unsigned char*, int) [40]
-----------------------------------------------
                0.00    0.00       5/5           CCmdListener::sendDataMessageToAny(char*, int, unsigned char*, int) [39]
[40]     0.0    0.00    0.00       5         CCmdListener::sendDataMessageToINET(sockaddr_in*, long, unsigned char*, int) [40]
-----------------------------------------------
                0.00    0.00       1/5           main [13]
                0.00    0.00       2/5           CCmdListener::stop() [56]
                0.00    0.00       2/5           cmd_listener_run(void*) [185]
[41]     0.0    0.00    0.00       5         CCmdListener::isRunning() [41]
-----------------------------------------------
                0.00    0.00       5/5           CCfgConfig::loadConfig(char*) [67]
