Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     34.05     0.00        3     0.00     0.00  CCmdRequest::initOldCmdRequest(long, char*)
  0.00     34.05     0.00        3     0.00     0.00  CCmdRequest::debug()
  0.00     34.05     0.00        3     0.00     0.00  CCmdRequest::reset()
  0.00     34.05     0.00        3     0.00     0.00  CCmdRequest::CCmdRequest(long, char*)
  0.00     34.05     0.00        3     0.00     0.00  CCmdRequest::~CCmdRequest()
  0.00     34.05     0.00        3     0.00     0.00  CDskDiskDev::init(void*, void*, long, long, long, long, long, char*, char*, char*, char*, char*)
  0.00     34.05     0.00        3     0.00     0.00  CDskDiskDev::terminate()
  0.00     34.05     0.00        3     0.00     0.00  CDskDiskDev::CDskDiskDev(void*, void*, long, long, long, long, long, char*, char*, char*, char*, char*)
  0.00     34.05     0.00        3     0.00     0.00  CCmdListener::sendDataMessageToHost(unsigned char*, int)
  0.00     34.05     0.00        3     0.00     0.00  CCmdListener::sendStringMessageToHost(char*)
  0.00     34.05     0.00        3     0.00     0.00  CCmdResponse::toResultXml(char*)
  0.00     34.05     0.00        3     0.00     0.00  CCmdResponse::doResponseSuccess(char*)
  0.00     34.05     0.00        3     0.00     0.00  CCmdResponse::debug()
  0.00     34.05     0.00        3     0.00     0.00  CCmdResponse::CCmdResponse(long)
  0.00     34.05     0.00        3     0.00     0.00  CCmdResponse::~CCmdResponse()
  0.00     34.05     0.00        3     0.00     0.00  CDskBlockMan::init(int, char*, char*)
  0.00     34.05     0.00        3     0.00     0.00  CDskBlockMan::loadFile(char*)
  0.00     34.05     0.00        3     0.00     0.00  CDskBlockMan::saveFile(char*)
  0.00     34.05     0.00        3     0.00     0.00  CDskBlockMan::terminate()
  0.00     34.05     0.00        3     0.00     0.00  CDskBlockMan::CDskBlockMan(int, char*, char*)
  0.00     34.05     0.00        3     0.00     0.00  CDskBlockMan::~CDskBlockMan()
  0.00     34.05     0.00        3     0.00     0.00  CCfgDiskGroup::getDiskDevAtPtr(int)
  0.00     34.05     0.00        3     0.00     0.00  CDskDiskGroup::addDiskDev(long, char*, char*, char*, char*, char*)
  0.00     34.05     0.00        3     0.00     0.00  CCfgHostServer::getInPort()
